body,topic
day. The US Supreme Court agreed today to decide whether affirmative action programs at Harvard and the University of North Carolina are lawful. ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"frightening. And many of the survivors rescued by these brave first responders risking their own lives. One of the most striking images coming out of that day of firefighter, carrying a baby out of the burning building and then this. Firefighters on the scene visibly exhausted, their faces covered in ash and dirt. And then this, the nurses and doctors who are working around the clock right now to save the lives of the victims still fighting for their lives. I would as soon as Jim Dolan spoke with an Er doctor about the desperate ","['9ff54ded-904b-4e0c-85ce-a3617f5cb913', '96326734-fd82-4350-b45c-513e7eb9147c']"
"Norville. Hello, everybody, and thank you for joining us. The ranks of the COVID positive just keep getting bigger. 610,000 new COVID cases were reported in America in just the last 24 hours. And among them, TV's James Corden. He's just the latest late night host to get Covett, as Seth Meyers and Jimmy Fallon also revealed this week that they, too, tested positive. ","['ca197b81-ca86-4792-8c25-2ba7cd4195b5', '83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"first, we begin with the blast of winter that's moving across the country with dangerous windshields in the upper Midwest right now. Ginger joins us where the bitter cold is now. She's going to tell us where it is headed next. Good morning, Ginger. Good morning, Michael. Here's the issue. A place like Hastings, Nebraska had a record high of 66. Feels like this morning single digits. And so that flash freeze you add on top of ",['9a06646a-e1df-4fca-888e-69658420556b']
"million kids tested positive last week. Starting on Saturday, you'll be able to get insurance reimbursement for your at home COVID tests. Individuals will be able to get up to eight tests covered a month more if you have an order from a doctor. The Red Cross is facing an unprecedented need for donors. They say this is the worst blood shortage in over a decade. And one of the reasons is a major decrease in blood drop on high school and College campuses. We are seeing pandemic era highs for the number of Americans in the hospital. Right now. We're seeing a rise in the number of people dying. We are Reggie. Deaths and hospitalizations are one of the ",['96326734-fd82-4350-b45c-513e7eb9147c']
Now we have more of that split Supreme Court decision today on the President's Kobi strategy. It includes blocking enforcement of the vaccine or test mandate for large employers while leaving a separate vaccine mandate for most healthcare workers intact. News Force Adam Harding has more on the ruling today as well as what's fuelling hope that Omarron's Peak may ,"['39822b5f-e37e-43e8-b997-7142fe55c3ea', '83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"you. Also happening today, city Congressman Richie Torres will announce new legislation that he says will help address the root causes of the Bronx fire that killed 17 people. We have more information as well about the funeral services for the victims. A joint service will be held for 15 of the victims on Sunday at the Islamic Cultural Center in the Bronx. A funeral for a young brother and sister were held Wednesday ",['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"Com. We have new video this morning. It shows a brutal assault in the Bronx, and we want to warn you the video is intense. It shows two men kicking and punching a 28 year old woman on the ground after police say one of the men stabbed her multiple times. Happened early Sunday morning on east 198 street between Briggs and Valentine Avenues in the Jerome Park section. The victim is now hospitalized in stable condition. The search continues for her attackers. ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"Pop icon Ronnie Spectre has died. Her sultry, quavering voice was behind numerous hits for the Ronettes and Immortal hits, including Be My Baby and Walking in the Rain. Spectre's family announced this morning she died peacefully after a brief battle with cancer. They said they will remember her spunky attitude and wicked sense of humor. Spectre was 78 ","['ca197b81-ca86-4792-8c25-2ba7cd4195b5', 'ebf2991e-4b7d-44c6-927b-a261a7b21d2c']"
"you, Stacey Anne. Well, Governor Phil Murphy agrees with you, Stacey Anne. He says also the expected slate of freezing rain is the cause of a concern for everybody who's traveling on the roads. Try not to do that. Pixel. Ms. Jay Dow joins us live from Morristown with more on what is going on there. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9a06646a-e1df-4fca-888e-69658420556b']"
"learning. And starting Saturday, private health insurers will have to cover up to eight at home covet tests per month for people on their insurance plans. Later this month, the federal government will launch a website to make 500 million free tests available through the ",['96326734-fd82-4350-b45c-513e7eb9147c']
"Let's stick with the outages. On Long Island, the major concern this morning, strong wind gusts with a storm that could lead to power outages. Snow turned to rain there overnight, made a huge mess of the roads. Crews were ready, though, clearing storm drains to prepare for coastal flooding. Also, they prepared to clear trees and debris once the wind picked ",['9a06646a-e1df-4fca-888e-69658420556b']
but still no deal on a possible remote learning option in New York City. Talks between the school district and teachers continue as Mayor Adam stresses inperson. Learning will continue no matter what. Cbs Susan Ali Duchess joins us live from the Upper West Side with more on all of this. Natalie. ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"There was a tip that led ABC Seven News Item reporter Dan Noise to pallets and pallets of personal protective equipment just sitting out in the rain at the San Mateo County Event Center. Well, tonight, Dan shows you what's happened since his exclusive report first aired last night right here on ABC ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '96326734-fd82-4350-b45c-513e7eb9147c', '9a06646a-e1df-4fca-888e-69658420556b']"
"down during the day tomorrow. Over the next couple of hours during the day tomorrow, we'll have a nice recovery. There's a warm front just wants to squeeze through here. We'll have two days where we're right around 39, 40, 41 degrees, and then we'll have another shot of cold air working in. But part of the good news of that is that we think this cold air will hold a system offshore. So we've got several coastal lows making a deal, making a run at us. One of them Friday, another one into the weekend here. So as those coastal lows make a run in our direction, that cold air will ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"thank you. And we are also hearing more incredible stories of survival from those who were able to escape safely, some even returning to their homes today for that part of our coverage. Let's go. I wish news reporter Kristin Thorne live in Tremont. ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"primetime, an increase in teacher absences continues to affect East Bay schools. The growing problem is tied to the pandemic, of course, and it is complicated by a shortage of substitute teachers. Crowd Force Philippe Gigal reached out to districts in Contra Costa County for a look at staffing levels. We reached out to the three largest school districts in Contra Costa County and learned that two out of three are reporting a high number of teachers absent since school resumed from winter ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"situations. The warriors have back to back games in Milwaukee and Chicago. Then at Minnesota, Draymond Green likely to miss all of them with a nagging calf injury. So the defense is probably going to suffer. But right now the problem is offense steep curses the warriors, especially Steph Curry. They're taking tough shots that are turning into what he calls shot turnovers. Warriors with a 30 and ten records, still tinkering with rotations. ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"News fans of Russian River Brewing's Pliny the younger beer. They have to wait a bit longer to open a bottle, the brewery said today it is pushing back the Beer's release date due to Kova 19. It was set for February 4. Select bars and restaurants will receive kegs on February 7. Bottles will be available at Russian Rivers Brew pubs starting March 25. ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"Found the Omaquon variant tearing through the country and more evidence that it causes less severe illness. The first major study in the US showed the risk of dying was 91% lower compared to Delta, and that people are half as likely to be hospitalized with than OMA Cron infection. A review of nearly 70,000 California patients found that people tended to have shorter hospital stays and none needed a ventilator. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"Some of San Francisco's best attractions could become free for people who live here. San Francisco Mayor London Breed is proposing legislation to make admission to the Conservatory of Flowers and Japanese Tea Garden free of charge for city residents. Both are in Golden Gate Park, Mayor Breed says every San Francisco should have access to the city's public spaces and cultural institutions ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"meant San Francisco's annual tribute to Dr. Martin Luther King Jr. Has been canceled. Unfortunately for 2022, the spike in COVID cases has shut down. This year's MLK March and Parade, which was scheduled to take place on Monday to holiday. Organizers say all indoor events will be moved online. The cancelation comes just days after organizers of the MLK parade in Hayward said their event is being ","['ca197b81-ca86-4792-8c25-2ba7cd4195b5', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"beloved sticker company in the North Bay has announced it is significantly downsizing and moving out of state. As ABC Seven News anchor Liz Croits explains, it's a change that's obviously emotional for both the owners and their loyal local ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
"Fans of Russian River Brewing's plenty. The younger beer will have to wait a bit longer to open a bottle, the brewery said today it's pushing back the Beer's release date due to Covet. It was set for February 4. Select bars and restaurants will receive kegs on February 7. Bottles will be available at Russian Rivers Brew pubs starting March ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"And there are still no signs of rain next week. Even with the latest computer models. Our holiday weekend forecast temperatures rebounding on Saturday. So if you're the kind of person that you like, mild weather load amid Sixties on Saturday, bright skies Sunday. After a little bit of fog and Martin Luther King Jr. Day, we will see some extra ","['74e2fab8-689f-4e17-9a1c-e1f92e084f55', '9a06646a-e1df-4fca-888e-69658420556b']"
"Casino Good evening. Jimmy G has quieted his critics for like a week anyway after leaving the 40 Niners to victory in overtime in La on Sunday. Next up, wild card playoff match up in Dallas this Sunday. Garoppolo says his injured thumb is fine. You would never know he was hurt when you watch him leave the Niners on that 88 yard drive in the final seconds to force overtime against the Rams. Jimmy so it's coming through in the clutch with the season on the line. That is what you dream ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"The trailblazers, their season basically circling the drain with this news. All Star guard Damien Lillard needs abdominal surgery. Could be out for up to two months. The pride of Oakland aggravated that injury at the Tokyo Olympics ","['96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
"College Hoops tonight, Cal at Washington first half. Jordan shepherd there with the steel on one end, the dunk on the other. He led the Golden Bears with twelve points. Dejawn Davis played at Stanford, transferred to UW. He's from Seattle. Six deals in this game, he can throw it down as well. Now Cal goes on a 21 six run to end the half. Marcellus Robertson at the buzzer for a seven point Cal lead. But Terrell Brown Jr. Leaves Kwani Kwani on the floor. That move is Savage. Uw wins 64 55. ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"right. There is some good news for people looking to get a copy test in San Francisco. Several testing sites in the city reopened today after being shut down for a couple of days. Health technology company Color says a software outage that kept six of its locations in the city shutdown has been resolved. As we've previously reported, appointments on Monday and Tuesday had to be rescheduled due to that problem. Meanwhile, there will soon be more locations where you can get tested for covet. Governor Newsom has announced a new effort today that will place 50 mobile sites essentially transformed busses across the ","['96326734-fd82-4350-b45c-513e7eb9147c', 'a58b4b70-1b59-4240-917d-a2165a0ce2f0']"
"The governor is also forecasting an end to this pandemic in the very near future. You might think he's being overly optimistic. However, one of the most respected infectious disease experts in the country agrees with the governor. Nbc Bay Areas Terry McSweeney moves us forward ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Breaking at the sour a deadly hit and run in Antioch. This happened at around 830 at Delta Fair Boulevard in San Jose Drive. The area is shut down right now while officers collect evidence. It's still unclear at this point when the roads will ,['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"We'll take a look at expensive Donuts new video tonight from Pittsburgh. Police say thanks to a quick thinking neighbor who took this video and wrote down the license plate, they were able to find the driver who spun Donuts at this intersection. The car will be impounded for 30 days, which police say will cost this driver about $3,400. ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"Chinatown. Be warned, is your COVID testing site legit? We're seeing more sites popping up and there are concerns about them. One private company called center for Covet Control is getting complaints nationwide, and that company has locations here in the Bay Area, including San Jose and Mountain View. Here's investigative reporter Candice ",['96326734-fd82-4350-b45c-513e7eb9147c']
"smile? Sure. Pick it up. Check it out. Sunshine, smiles and waves. Jeopardy. Smiling is all right. Big wave surfers embracing the epic conditions at Mavericks today. This is so cool to see. Our Sky Ranger was overhead near Half Moon Bay. Nice assignment for our chopper pilot. Right? Right. Go check out Moon ","['74e2fab8-689f-4e17-9a1c-e1f92e084f55', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
"holiday weekend over, classes resumed this morning at New York City Public Schools, which have been experiencing high absentee rates. With pressure to bring back remote learning, the Department of Education is implementing a new policy. Cbs John Dias is live on the Lower East Side this morning with more. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"weekend. Let's get you into that weekend forecast. San Francisco will have some upper 50s and low 60s, even some sun moving in. Looking good for MLK Day on Monday and right here for the Inland Valleys. Also shaping up pretty good next few days. But watch for some cold mornings by Sunday, Monday and Tuesday, we're back down into the 30s. Okay, weekend, let's hurry up and get here. Seriously, it looks so good, even Thursday. Let's hurry up and get here. Thanks, ",['74e2fab8-689f-4e17-9a1c-e1f92e084f55']
"today, the here and now practice in Santa Clara. Jimmy G looking pretty sharp, looking healthy. Niners are still riding high, though, from their dramatic win last Sunday to put them into the playoffs. Now, though, the focus squarely on the high flying Cowboys, who are twelve and five. We know we have a chance to do something special, and it's just that you don't get that opportunity every year. I've been on a number of teams that went to the Super Bowl, and I'm not saying anything like that. But just there's a feeling and you won't make them count as long as you have them. I guess ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"Groceries, gas, cars, rent, prices for all these essential things and more are going up quickly. New numbers show inflation is up 7% year over year in the already pricey Bay Area. It's forcing business owners to make some very tough decisions tonight. Good evening. Thank you for joining us. I'm Dan Ashley. And I'm Amadates. The economy is a key part of building a better Bay Area. Abc Seven News reporter Ryan Curry was in Martinez tonight and has ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"issues. In that vein, teachers at several Oakland schools say they will stage a sick out tomorrow to support students who are demanding more covert safety measures. Our media partner, The Mercury News, reports teachers from six schools will take part in this. A group of students says it will stage a walkout on Tuesday unless the demands are met. Those demands include KN 95 masks and N 95 masks for all students. Parents and students share their concerns during tonight's meeting of the Oakland Unified ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"schools. Schools across the Bay Area and all over the country continue to struggle to staff classrooms amid this COVID-19 surge driven, as you know, by the Omacron variant. The West Contra Costa School District Superintendent even stepped in to teach as other educators called out sick. Dr. Chris Hertz says it gave him a renewed appreciation for the job teachers do. The district is seeing about 265 of its 3400 educators call out sick ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"Covid-19 related restrictions are increasing in Sonoma County, but so far other counties are holding off on doing the same, at least for now, ABC said. The news reporter Melanie Woodrow has a look at the different decisions being ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
Governor Newsom says the state continues to expand testing and will add 30 more mobile testing sites from ,"['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"Com. Well, a new video this morning shows a brutal assault in the Bronx, and we want to warn you the video you're about to see very intense. It shows two men kicking and punching a 28 year old woman on the ground after police say one of the men stabbed her multiple times. It happened early Sunday morning on east 198 street between Bridge and Valentine Avenues in the Jerome Park section. The victim is now hospitalized in stable condition. The search continues for her attackers ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"score. How about the Knicks? They took on the Dallas Mavericks last night at MSJ. And it was a good night for Julius Randall. Nice to say that he had 17 points, twelve rebounds, eight assists. Thumbs up. But this is a team effort. Mitchell Robinson, nine of ten from the floor for 19 playoff. That's another high percentage one right there. Most of them don't say whatever it takes. Game ball goes to RJ Barrett, who is just ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"career. Well, today, President Biden will announce plans to send medical units, military medical teams across the country to assist hospital workers. Two of those teams are coming right here to our area. One will be at University Hospital in New York, the other at Coney Island Hospital. I witness news reporter Shantay Lands is live at Coney Island Hospital to detail it for us a little bit more. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '96326734-fd82-4350-b45c-513e7eb9147c']"
"but we ultimately will be above normal in so many ways. Then another Arctic blast. It's Friday afternoon Friday night. You really feel it Saturday. And then we watch a system that is Sunday night into Monday. So remember, slight chance of a shower east early Friday Saturday dry but bitter, biting and brutal. And then Sunday night late into Monday. Another system. So again, if that's a travel period, ",['0d817400-3f5d-41e0-929c-c31fdbe75d31']
"Derek, thank you. Many of the victims who died made the decision to try to escape the apartment rather than wait to be rescued. Now those who made it out alive are talking about their decision to stay. Is that black, toxic smoke filled the building. I was really scared because at that moment, I wouldn't survive no more. When the smoke was coming inside the house, it was like smoke everywhere. We had to put our mask. I heard a banging on the door and it was ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"despite its slowdown in new Kovac cases across the Tristate Area hospitalizations continue to rise across New York State. More than 120 people are currently hospitalized with covet in New Jersey, just over 6000, the highest number since April of 2020, and nearly 2000 people are hospitalized in ",['96326734-fd82-4350-b45c-513e7eb9147c']
"Mariah Ben Affleck. It's great to see you here today. Hey, dormant. Welcome to the red carpet. All right. This was a lot of fun. Matt Damon interviewed Ben Affleck for Ben's EW magazine cover story. And of course, like old friends do Matt was busting his chops about why Ben got the job in the George Clooney movie, The Tender Bar. George offered you a job. I promptly called George, and he said to me that it was because you were cheaper than me. He told me you argued too much. I got tired of dealing with Damon's book. I figured you're going to do what I tell you, right? Just watch The Tender Bar a couple of nights ago and loving the book. I was nervous. ",['ca197b81-ca86-4792-8c25-2ba7cd4195b5']
"Well, two recently approved antiviral pills are now available to some high risk Covet patients in New Jersey. The pills from Merck and Pfizer decrease the risk of hospitalization. Doctors say that could help ease the strain Omakron is putting on the healthcare system Paxovid and malnapuravir people who are coveted positive within five days who have significant risks in terms of underlying conditions, chronic conditions, things along those lines. You ",['96326734-fd82-4350-b45c-513e7eb9147c']
"thank you. President Biden. Meanwhile, late today in Georgia, issuing a call to action on voting rights in this country, urging the Senate to get it done, saying he will support changes in the Senate rules, changes to the filibuster on this issue and telling senators, including reluctant members of his own party history will judge you on this issue. Our chief White House correspondent, Cecilia Vega with the President in ",['83a09c6b-5f2f-421f-ae50-b38acca7e008']
"you so much. We're going to go now to the latest on the Bronx fire tragedy this morning. The investigation continues into alleged fire code violations in the Tremont building in the meantime, we're learning about a hero who helped the child and carry that child to safety from the flames and the smoke eyewitness. News reporter Derek Waller is live in Vermont with ","['9ff54ded-904b-4e0c-85ce-a3617f5cb913', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"Well, following the death of a 10th grade hockey player after a tragic accident on the ice, there is a new push to mandate a special piece of equipment in Connecticut, CBS News Kieran Dylan has more. In the efforts to require neck guards for young ","['9ff54ded-904b-4e0c-85ce-a3617f5cb913', '96326734-fd82-4350-b45c-513e7eb9147c', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
"right now, traffic is nearly back to what it was before the pandemic in New York, and drivers are paying the price. Crumbling roads are costing drivers millions of dollars every year. Now, even though money is coming from Washington, advocates say the need is urgent. Cbs News Carolyn Gussoff reports. He calls himself Dr. Wheel, and his schedule is full. A lot of bent wheels, blown tires every day, healing the hurt inflicted by Long Island roads. The frozen temperature is going to be ",['aa1edc37-1a01-414a-bcf7-8517e7c7053d']
"This Friday, SFO is hosting a free vaccine clinic from ten in the morning until six in the evening. It will be held in the international terminal. Appointments must be made in advance. Doses of the Pfizer, and the Moderna vaccines will be available if you cannot make it. This Friday to SFO, the airport will be hosting another clinic next month on Wednesday, February ",['96326734-fd82-4350-b45c-513e7eb9147c']
"News tonight. Nypd says it has the suspect in connection with the deadly shooting inside of a Burger King in East Harlem. He's identified as 30 yearold Winston Glenn. He was arrested last night in Brooklyn. Police say Glenn shot and killed 19 year old Crystal Byron Nievis early Sunday morning during a robbery. Nypd officials emotional describing her final moments. When you see the video and think of this terrible incident, a senseless brutal killing of a teenager who was doing the right thing, working on a Saturday night at 1230 and had a life cut short, it both makes your blood boil. Police say Winston Glenn shot Byron Nevis as she was scrambling to open a drawer, but she did not have the key. Glenn is being charged with murder and robbery ",['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"arrest. Okay, little guy, relax. A new video shows a wild rescue in Florida. Police officer happens to be patrolling the water when he came across a baby dolphin stuck in a fishing net. The officer was able to cut the dolphin free. The animal nearly jumped into the boat before disappearing into that beautiful blue ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9a06646a-e1df-4fca-888e-69658420556b']"
"News Tonight now for the first time, we're hearing from the family of Teddy Balkan after his tragic deaths. The high school sophomore died last week after an accident at a hockey game in Connecticut, and now the school and his parents are setting the record straight on how he died. Cbs News Kieran Dylan has more. ","['9ff54ded-904b-4e0c-85ce-a3617f5cb913', 'b49207eb-96eb-4b73-b534-adc0ef85022a']"
"News Well, Delta Airlines customers have more time to use their travel vouchers they received after canceling a flight during the pandemic. The vouchers are now good to the end of 2023, and that includes airline tickets purchased this ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
"linked. Governor Newsom has denied parole to the man who assassinated Robert F. Kennedy. 77 year old Saran Saran has served more than 50 years behind bars. He was convicted of killing Kennedy at a hotel in Los Angeles during his race for the Democratic presidential nomination back in 1968. A state parole panel recommended Saran be released, but Newsom overruled them. The governor said Saran Saran is still a threat to society and a symbol of political violence. ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', '9ff54ded-904b-4e0c-85ce-a3617f5cb913']"
"Right now. Happening today, the 10th annual Black Comic Book Festival is set to get underway. This year's event will be 100% virtual, with all panels and workshops to be held online. The three day festival highlights the work of black comic book and graphic novel creators from across the country. We'll have more on the festival coming ","['ca197b81-ca86-4792-8c25-2ba7cd4195b5', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"Now, now we have some breaking couples news today. Surprise birthday for me. Lori Harvey just got the ultimate gift from Michael B. Jordan for her 25th birthday. A surprise party. I just talked all about it with page six is ","['ca197b81-ca86-4792-8c25-2ba7cd4195b5', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
"right now. Happening today. Major League Baseball and the Players Association holding their first bargaining session since team owners impose a lockout back on December 2. The contract dispute could threaten spring training, which is scheduled to start February 16 in Florida and Arizona ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"Ten, eight. Right now in developing this hour, everybody, big topic here for New Yorkers, a possible eviction crisis in New York City. The moratorium has expired over the weekend. Hundreds of thousands of residents remain behind on their rent. New York has the highest number of renters in the country, and the state's rent relief program doesn't have enough money in it to provide assistance to everybody who applied. So we spoke this morning with Public Advocate Jamani Williams this morning. I did ask him if he would have liked the moratorium extended again to help renters ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '83a09c6b-5f2f-421f-ae50-b38acca7e008', '74e2fab8-689f-4e17-9a1c-e1f92e084f55']"
station. We're learning more about the woman killed this weekend in the attack and the effort by the community to honor her memory. Cbs News Christina Fan joins us live from Times Square with the latest. ,"['9ff54ded-904b-4e0c-85ce-a3617f5cb913', 'ebf2991e-4b7d-44c6-927b-a261a7b21d2c']"
"Connecticut. And this morning, President Biden will provide an update on the administration's response to the nationwide surge in COVID cases. It includes sending medical teams to Coney Island Hospital in Brooklyn. This follows word that Americans will soon be reimbursed for the cost of at home COVID test starting Saturday. You can get your money back for rapid tests. The FDA has specifically authorized for emergency use. The cost will be covered by health insurance companies and test purchase at your in network. Pharmacies and retailers might cost you nothing ","['39822b5f-e37e-43e8-b997-7142fe55c3ea', '96326734-fd82-4350-b45c-513e7eb9147c']"
"be covered 607 right now, remote learning at Patterson Public Schools will be extended through next week. The school Superintendent made the announcement yesterday. The district had decided last month after Surgeon Kofi cases that students returning from the holiday break would learn virtually two weeks. Students are expected to return to the classroom on Monday, January 24, and ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
"Well, Garvin, we know at this point that Omacron is highly contagious, and now experts say it doesn't provide that much protective immunity, meaning you can be infected more than once. Nbc Bay Area's Gene Ellie has ","['96326734-fd82-4350-b45c-513e7eb9147c', 'f5cdd7f2-9d4d-4ba5-9925-00c1701e30fa']"
now the search for a car jacking suspect caused mayhem in Midtown. Police say the armed suspect crashed into cars as he sped off driving the wrong way. And it wasn't just the damage left behind. A police officer was also heard during the ordeal. Here's CBS News Corey James. This video capturing the chaotic moments after a driver attempting to take off in a stolen SUV drives the wrong way before ramming into two vehicles near 57th ,['9ff54ded-904b-4e0c-85ce-a3617f5cb913']
"June, and Girl From the North Country will end its run at the Bellasco on January 23. The musical features the music of legendary singer songwriter Bob Dylan, but with a fresh new take. Girl from the North Country is set in a rural Minnesota town during the Depression. It also plans to reopen in the spring. ",['ca197b81-ca86-4792-8c25-2ba7cd4195b5']
"you. In the South Bay, San Jose is now the first city in the country to require a booster shot for city workers and city owned properties that includes the SAP center. City leaders say the mandate is going to prevent hospitals from becoming overwhelmed. Some Council members say your chances of getting infected with Omacron are low with your booster shot compared to only having two ",['96326734-fd82-4350-b45c-513e7eb9147c']
"at home. Rapid tests are getting a lot of attention, with many now asking, Should I swab my throat or my nose? Which is the approved method? Our reporter, Alison Hall, suspected she had Covet, but a nose swab came back negative when she did a throat swab, it was positive. Her eye opening TikTok report has gone viral with 5.3 million views. Look at that ",['96326734-fd82-4350-b45c-513e7eb9147c']
"On the latest on the pandemic, Governor Phil Murphy sounding more optimistic as New Jersey's Key Coronavirus numbers continue to decline. Yesterday, the state reported about 14,000 new cases, about half the number of daily cases the state was reporting two weeks ago. Hospitalizations are also down, and so is the Positivity rate. Positivity rate paramedics down to low 20s. That was up at 40% not that many days ago. Rt rate of transmission continues to drift, so those are all very good ",['96326734-fd82-4350-b45c-513e7eb9147c']
"and crumbling roads are costing drivers in our area millions of dollars every year, and the streets across New York City are among some of the worst, according to a report by the transportation nonprofit trip between repairs and being stuck in traffic, drivers lose $3,200 a year. But the federal infrastructure bill is expected to pour nearly $4 billion into ","['83a09c6b-5f2f-421f-ae50-b38acca7e008', 'aa1edc37-1a01-414a-bcf7-8517e7c7053d']"
"today. Major League Baseball and the Players Association holding their first bargaining sessions and team owners imposed a lockout on December 2. What's taken so long, guys? The contract dispute could threaten spring training, which is scheduled to start February 16 in Florida and Arizona. ",['b49207eb-96eb-4b73-b534-adc0ef85022a']
"A dangerous deep freeze impacting millions of Americans today across the upper Midwest, Great Lakes and northeast New York City and Boston, seeing their coldest days in three years, windshields as low as 30 below zero in Northern New ",['9a06646a-e1df-4fca-888e-69658420556b']
"News. The Biden administration is also expected to start shipping out 500 million covades to American homes, but it's still unclear when those tests will actually arrive. A government website is expected to begin taking orders later this ",['96326734-fd82-4350-b45c-513e7eb9147c']
"647 consumer prices they're up. And now Americans are feeling the squeeze. At grocery stores. Prices soared six 5% in the last year, marking the biggest increase in more than a decade. Yesterday's report on inflation shows ground beef prices up 13%. There are double digit jumps in the price of eggs, crackers and breakfast cereal is up 6% and the milk you pour in it that is up more than 4%. The Federal Reserve is expected to raise interest rates in an effort to put a live on growing ",['39822b5f-e37e-43e8-b997-7142fe55c3ea']
"A new study found that a booster shot of the Johnson and Johnson vaccine is highly effective in fighting the Omarcron coronavirus variant. The head of South Africa's Medical Research Council says the booster shot is 84% effective in presenting hospitalizations from Omacron for one to two months after it is received. The study involved more than 477,000 healthcare workers vaccinated. With that JNJ shot, roughly half received the JNJ booster. Among the participants were 30,000 breakthrough cases during the Omar ","['96326734-fd82-4350-b45c-513e7eb9147c', 'f5cdd7f2-9d4d-4ba5-9925-00c1701e30fa']"
"And let's get back to another big strike, which is wildfire. It's a rare January wildfire burning along the central coast, and people have had to evacuate because of ",['9a06646a-e1df-4fca-888e-69658420556b']
"Teachers at several Oakland schools say they will stage a stick out today to support students who are demanding more covet safety measures. Our media partner, the Mercury News reports teachers from six schools will take part. A group of students say it will stage a walkout on Tuesday unless its demands are met. Those demands include KN 95 and N 95 masks for all students. Parents and students shared their concerns during last night's meeting of the Oakland Unified School ","['96326734-fd82-4350-b45c-513e7eb9147c', '6fbf954a-03f9-4782-a65f-783271c9c447']"
